STARTDATE,Rainfall_Value,LOCPRESENT
1987-01-01,0.663569093,2
1987-06-01,15.71397305,15
1987-07-01,141.305728863,52
1987-08-01,60.957064598,13
1989-01-01,5.400155067999999,8
2009-06-01,5.460732430999999,7
2009-07-01,9.267831802,9
2009-08-01,1.956120729,3
2014-03-01,3.399187088,6
2014-04-01,30.640300597,8
2014-05-01,11.005989255,35
2014-08-01,13.865062713,5
2014-10-01,1.750841975,2
2019-06-01,10.37433338,3
2019-08-01,131.406236653,21
2019-09-01,32.956736789999994,34
2019-10-01,89.91692161,15
2019-11-01,130.897719174,65
2019-12-01,0.220799178,46
2020-01-01,93.84187190499999,87
2020-02-01,172.21426789299994,104
2020-03-01,188.01984542999995,98
2020-04-01,1414.7781736740012,278
2020-05-01,150.541372362,96
2020-06-01,81.55127673499997,113
2020-07-01,269.55065027600006,88
2020-08-01,491.1747890700001,124
2020-09-01,359.8239411490001,186
2020-10-01,167.19520772100017,496
2020-11-01,32.502468464,78
2020-12-01,62.151595906000004,441
2021-01-01,72.089430677,280
2021-02-01,153.383253454,303
2021-03-01,17.299399912,79
2021-04-01,206.9731477889999,104
2021-05-01,115.48582422700001,26
